N, Pi, Time
       1,       0,      0.000000
       4,       2,      0.000001
      16,       6,      0.000000
      64,      18,      0.000001
     256,      54,      0.000009
    1024,     172,      0.000110
    4096,     564,      0.001394
   16384,    1900,      0.018395
   65536,    6542,      0.249530
