N, Pi, Time
       1,       0,      0.000001
       4,       2,      0.000000
      16,       6,      0.000001
      64,      18,      0.000000
     256,      54,      0.000002
    1024,     172,      0.000008
    4096,     564,      0.000050
   16384,    1900,      0.000312
   65536,    6542,      0.002057
