Num_Threads, N, Pi, Time
1, 1 ,0,0.000003
1, 2 ,1,0.000000
1, 4 ,2,0.000001
1, 8 ,4,0.000000
1, 16 ,6,0.000000
1, 32 ,11,0.000001
1, 64 ,18,0.000001
1, 128 ,31,0.000001
1, 256 ,54,0.000002
1, 512 ,97,0.000005
1, 1024 ,172,0.000008
1, 2048 ,309,0.000020
1, 4096 ,564,0.000050
1, 8192 ,1028,0.000126
1, 16384 ,1900,0.000314
1, 32768 ,3512,0.000799
1, 65536 ,6542,0.002053
1, 131072 ,12251,0.005212
1, 5 ,3,0.000003
1, 50 ,15,0.000001
1, 500 ,95,0.000005
1, 5000 ,669,0.000064
1, 50000 ,5133,0.001423
1, 500000 ,41538,0.032850
1, 1 ,0,0.000002
1, 4 ,2,0.000000
1, 16 ,6,0.000001
1, 64 ,18,0.000001
1, 256 ,54,0.000002
1, 1024 ,172,0.000009
1, 4096 ,564,0.000049
1, 16384 ,1900,0.000321
1, 65536 ,6542,0.002050
2, 1 ,0,0.000058
2, 2 ,1,0.000001
2, 4 ,2,0.000000
2, 8 ,4,0.000000
2, 16 ,6,0.000001
2, 32 ,11,0.000000
2, 64 ,18,0.000001
2, 128 ,31,0.000001
2, 256 ,54,0.000001
2, 512 ,97,0.000003
2, 1024 ,172,0.000005
2, 2048 ,309,0.000013
2, 4096 ,564,0.000031
2, 8192 ,1028,0.000077
2, 16384 ,1900,0.000194
2, 32768 ,3512,0.000493
2, 65536 ,6542,0.001254
2, 131072 ,12251,0.003263
2, 5 ,3,0.000024
2, 50 ,15,0.000001
2, 500 ,95,0.000003
2, 5000 ,669,0.000042
2, 50000 ,5133,0.000891
2, 500000 ,41538,0.020675
2, 1 ,0,0.000057
2, 4 ,2,0.000001
2, 16 ,6,0.000000
2, 64 ,18,0.000001
2, 256 ,54,0.000001
2, 1024 ,172,0.000006
2, 4096 ,564,0.000030
2, 16384 ,1900,0.000191
2, 65536 ,6542,0.001249
4, 1 ,0,0.000040
4, 2 ,1,0.000001
4, 4 ,2,0.000001
4, 8 ,4,0.000001
4, 16 ,6,0.000001
4, 32 ,11,0.000001
4, 64 ,18,0.000001
4, 128 ,31,0.000001
4, 256 ,54,0.000001
4, 512 ,97,0.000002
4, 1024 ,172,0.000003
4, 2048 ,309,0.000007
4, 4096 ,564,0.000017
4, 8192 ,1028,0.000042
4, 16384 ,1900,0.000112
4, 32768 ,3512,0.000271
4, 65536 ,6542,0.000707
4, 131072 ,12251,0.001821
4, 5 ,3,0.000048
4, 50 ,15,0.000001
4, 500 ,95,0.000006
4, 5000 ,669,0.000028
4, 50000 ,5133,0.000492
4, 500000 ,41538,0.011358
4, 1 ,0,0.000037
4, 4 ,2,0.000001
4, 16 ,6,0.000001
4, 64 ,18,0.000001
4, 256 ,54,0.000001
4, 1024 ,172,0.000004
4, 4096 ,564,0.000018
4, 16384 ,1900,0.000108
4, 65536 ,6542,0.000698
8, 1 ,0,0.000110
8, 2 ,1,0.000001
8, 4 ,2,0.000001
8, 8 ,4,0.000001
8, 16 ,6,0.000001
8, 32 ,11,0.000001
8, 64 ,18,0.000001
8, 128 ,31,0.000001
8, 256 ,54,0.000001
8, 512 ,97,0.000002
8, 1024 ,172,0.000002
8, 2048 ,309,0.000005
8, 4096 ,564,0.000011
8, 8192 ,1028,0.000028
8, 16384 ,1900,0.000071
8, 32768 ,3512,0.000180
8, 65536 ,6542,0.000466
8, 131072 ,12251,0.001225
8, 5 ,3,0.000069
8, 50 ,15,0.000001
8, 500 ,95,0.000002
8, 5000 ,669,0.000014
8, 50000 ,5133,0.000313
8, 500000 ,41538,0.007572
8, 1 ,0,0.000079
8, 4 ,2,0.000001
8, 16 ,6,0.000001
8, 64 ,18,0.000001
8, 256 ,54,0.000001
8, 1024 ,172,0.000003
8, 4096 ,564,0.000011
8, 16384 ,1900,0.000067
8, 65536 ,6542,0.000453
