N, Pi, Time
       1,       0,      0.000274
       4,       2,      0.000165
      16,       6,      0.000152
      64,      18,      0.000049
     256,      54,      0.000103
    1024,     172,      0.000082
    4096,     564,      0.000062
   16384,    1900,      0.000114
   65536,    6542,      0.000390
