N, Pi, Time
       1,       0,      0.015886
       2,       1,      0.000087
       4,       2,      0.001405
       8,       4,      0.000288
      16,       6,      0.004339
      32,      11,      0.000015
      64,      18,      0.000015
     128,      31,      0.000016
     256,      54,      0.000015
     512,      97,      0.000015
    1024,     172,      0.001969
    2048,     309,      0.000031
    4096,     564,      0.000020
    8192,    1028,      0.000026
   16384,    1900,      0.000052
   32768,    3512,      0.000122
   65536,    6542,      0.044477
  131072,   12251,      0.000821
