N, Pi, Time
       1,       0,      0.000304
       4,       2,      0.000167
      16,       6,      0.000089
      64,      18,      0.000074
     256,      54,      0.000069
    1024,     172,      0.000068
    4096,     564,      0.000065
   16384,    1900,      0.000090
   65536,    6542,      0.000363
