N, Pi, Time
       1,       0,      0.000160
       4,       2,      0.000102
      16,       6,      0.000078
      64,      18,      0.000884
     256,      54,      0.000820
    1024,     172,      0.000088
    4096,     564,      0.000301
   16384,    1900,      0.048955
   65536,    6542,      0.589797
