N, Pi, Time
       1,       0,      0.004374
       2,       1,      0.000817
       4,       2,      0.002456
       8,       4,      0.000591
      16,       6,      0.000338
      32,      11,      0.000184
      64,      18,      0.000071
     128,      31,      0.000045
     256,      54,      0.000051
     512,      97,      0.000061
    1024,     172,      0.000073
    2048,     309,      0.000115
    4096,     564,      0.000316
    8192,    1028,      0.050783
   16384,    1900,      0.061954
   32768,    3512,      0.187459
   65536,    6542,      0.610788
  131072,   12251,      1.831116
