N, Pi, Time
       1,       0,      0.000002
       2,       1,      0.000001
       4,       2,      0.000001
       8,       4,      0.000001
      16,       6,      0.000001
      32,      11,      0.000002
      64,      18,      0.000002
     128,      31,      0.000004
     256,      54,      0.000008
     512,      97,      0.000018
    1024,     172,      0.000043
    2048,     309,      0.000110
    4096,     564,      0.000279
    8192,    1028,      0.000738
   16384,    1900,      0.001812
   32768,    3512,      0.001704
   65536,    6542,      0.002044
  131072,   12251,      0.009678
