N, Pi, Time
       1,       0,      0.000170
       4,       2,      0.000284
      16,       6,      0.000333
      64,      18,      0.000432
     256,      54,      0.000089
    1024,     172,      0.000059
    4096,     564,      0.000314
   16384,    1900,      0.045174
   65536,    6542,      0.595918
