Num_Threads, N, Pi, Time
1, 1 ,0,0.000009
1, 2 ,1,0.000003
1, 4 ,2,0.000006
1, 8 ,4,0.000002
1, 16 ,6,0.000002
1, 32 ,11,0.000007
1, 64 ,18,0.000006
1, 128 ,31,0.000019
1, 256 ,54,0.000051
1, 512 ,97,0.000182
1, 1024 ,172,0.000623
1, 2048 ,309,0.002248
1, 4096 ,564,0.002140
1, 8192 ,1028,0.004970
1, 16384 ,1900,0.019678
1, 32768 ,3512,0.068513
1, 65536 ,6542,0.254627
1, 131072 ,12251,0.956696
1, 5 ,3,0.000002
1, 50 ,15,0.000001
1, 500 ,95,0.000030
1, 5000 ,669,0.002008
1, 50000 ,5133,0.149377
1, 500000 ,41538,12.198358
1, 1 ,0,0.000003
1, 4 ,2,0.000001
1, 16 ,6,0.000002
1, 64 ,18,0.000001
1, 256 ,54,0.000009
1, 1024 ,172,0.000107
1, 4096 ,564,0.001366
1, 16384 ,1900,0.018065
1, 65536 ,6542,0.250122
2, 1 ,0,0.000082
2, 2 ,1,0.000001
2, 4 ,2,0.000001
2, 8 ,4,0.000001
2, 16 ,6,0.000001
2, 32 ,11,0.000001
2, 64 ,18,0.000001
2, 128 ,31,0.000007
2, 256 ,54,0.000007
2, 512 ,97,0.000023
2, 1024 ,172,0.000079
2, 2048 ,309,0.000278
2, 4096 ,564,0.001030
2, 8192 ,1028,0.003615
2, 16384 ,1900,0.013546
2, 32768 ,3512,0.049840
2, 65536 ,6542,0.186721
2, 131072 ,12251,0.702322
2, 5 ,3,0.000056
2, 50 ,15,0.000001
2, 500 ,95,0.000027
2, 5000 ,669,0.001476
2, 50000 ,5133,0.112108
2, 500000 ,41538,9.160198
2, 1 ,0,0.000045
2, 4 ,2,0.000001
2, 16 ,6,0.000001
2, 64 ,18,0.000001
2, 256 ,54,0.000007
2, 1024 ,172,0.000077
2, 4096 ,564,0.001030
2, 16384 ,1900,0.013570
2, 65536 ,6542,0.186201
4, 1 ,0,0.000102
4, 2 ,1,0.000001
4, 4 ,2,0.000001
4, 8 ,4,0.000001
4, 16 ,6,0.000001
4, 32 ,11,0.000001
4, 64 ,18,0.000001
4, 128 ,31,0.000002
4, 256 ,54,0.000004
4, 512 ,97,0.000014
4, 1024 ,172,0.000045
4, 2048 ,309,0.000160
4, 4096 ,564,0.000593
4, 8192 ,1028,0.002142
4, 16384 ,1900,0.007956
4, 32768 ,3512,0.028893
4, 65536 ,6542,0.107797
4, 131072 ,12251,0.405146
4, 5 ,3,0.000088
4, 50 ,15,0.000001
4, 500 ,95,0.000014
4, 5000 ,669,0.000862
4, 50000 ,5133,0.065117
4, 500000 ,41538,5.339319
4, 1 ,0,0.000077
4, 4 ,2,0.000001
4, 16 ,6,0.000001
4, 64 ,18,0.000001
4, 256 ,54,0.000004
4, 1024 ,172,0.000046
4, 4096 ,564,0.000611
4, 16384 ,1900,0.008051
4, 65536 ,6542,0.108855
8, 1 ,0,0.000100
8, 2 ,1,0.000002
8, 4 ,2,0.000001
8, 8 ,4,0.000001
8, 16 ,6,0.000002
8, 32 ,11,0.000001
8, 64 ,18,0.000001
8, 128 ,31,0.000002
8, 256 ,54,0.000003
8, 512 ,97,0.000009
8, 1024 ,172,0.000028
8, 2048 ,309,0.000093
8, 4096 ,564,0.000360
8, 8192 ,1028,0.001297
8, 16384 ,1900,0.004971
8, 32768 ,3512,0.017499
8, 65536 ,6542,0.063252
8, 131072 ,12251,0.224610
8, 5 ,3,0.000099
8, 50 ,15,0.000002
8, 500 ,95,0.000009
8, 5000 ,669,0.000476
8, 50000 ,5133,0.036138
8, 500000 ,41538,2.912212
8, 1 ,0,0.000129
8, 4 ,2,0.000001
8, 16 ,6,0.000008
8, 64 ,18,0.000001
8, 256 ,54,0.000014
8, 1024 ,172,0.000028
8, 4096 ,564,0.000363
8, 16384 ,1900,0.004922
8, 65536 ,6542,0.063774
