Num_Threads, N, RMS, Time
1, 1000, 0.022279, 3.081335
1, 5000, 0.021142, 15.624240
1, 10000, 0.021053, 31.231582
1, 20000, 0.020913, 61.261271
2, 1000, 0.021339, 1.566978
2, 5000, 0.021044, 7.839491
2, 10000, 0.020642, 15.653130
2, 20000, 0.020939, 31.218166
4, 1000, 0.021693, 0.863098
4, 5000, 0.020859, 4.326347
4, 10000, 0.021124, 8.657841
4, 20000, 0.020901, 17.305086
8, 1000, 0.021828, 0.537707
8, 5000, 0.020877, 2.610634
8, 10000, 0.020922, 5.226691
8, 20000, 0.020976, 10.455440
